file,avg_bertscore,median_bertscore,min_bertscore,max_bertscore,model
translation_results_aya_8b_finetuned_aug_2_new_v2.csv,0.9466391780972481,0.9500350952148438,0.8418605327606201,1.0000001192092896,sft-stage-2
translation_results_aya_32b_finetuned_aug1.csv,0.9548217742145062,0.9581819772720337,0.8669590950012207,1.0000001192092896,sft-stage-2
translation_results_aya_8b_finetuned_aug_1_new_v2.csv,0.9501799331605434,0.9526928663253784,0.8391526341438293,1.0000001192092896,sft-stage-2
translation_results_aya_32b_finetuned_aug_2_new_v2.csv,0.9494907473027706,0.9532543420791626,0.8667578101158142,0.9999998807907104,sft-stage-2
translation_results_gemma_4b_aug_1_new.csv,0.96230782777071,0.965613454580307,0.8747861981391907,1.000000238418579,sft-stage-2
translation_results_aya_8b_finetuned_cot.csv,0.9467130926251411,0.950859785079956,0.848400890827179,1.0,sft-stage-2
translation_results_aya_32b_finetuned_cot.csv,0.9595339277386665,0.9634350836277008,0.8784075379371643,1.0000001192092896,sft-stage-2
translation_results_gemma_4b_tuned_cot.csv,0.9609564557671547,0.9664344489574432,0.8658308386802673,1.0000001192092896,sft-stage-2
translation_results_gemma_4b_aug_2.csv,0.9624680718779564,0.9668177664279938,0.8742784857749939,1.0000001192092896,sft-stage-2
translation_results_gemma_4b_aug_1.csv,0.9565330977737904,0.9590258598327637,0.845672607421875,1.0000001192092896,sft-stage-2
